Chain,Generation,ParticipantID,IP,Stage,Block,TrialNumber,Meaning,TrainingLabel,TypedLabel,CheckedLabel,Array1,Array2,Array3,Array4,Array5,Array6,Array7,Array8,Selected,Score
D307,1,3072,129.215.204.33,vocabTraining,0,1,giraffe,giraffe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D307,1,3072,129.215.204.33,vocabTraining,0,2,sheep,sheep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D307,1,3072,129.215.204.33,vocabTraining,0,3,hedgehog,hedgehog,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D307,1,3071,129.215.204.50,vocabTraining,0,1,tiger,tiger,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D307,1,3072,129.215.204.33,vocabTraining,0,4,rabbit,rabbit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D307,1,3071,129.215.204.50,vocabTraining,0,2,squirrel,squirrel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D307,1,3072,129.215.204.33,vocabTraining,0,5,squirrel,squirrel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D307,1,3071,129.215.204.50,vocabTraining,0,3,rabbit,rabbit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D307,1,3072,129.215.204.33,vocabTraining,0,6,fox,fox,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D307,1,3071,129.215.204.50,vocabTraining,0,4,cow,cow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D307,1,3072,129.215.204.33,vocabTraining,0,7,zebra,zebra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D307,1,3071,129.215.204.50,vocabTraining,0,5,giraffe,giraffe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D307,1,3072,129.215.204.33,vocabTraining,0,8,zebra,zebra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D307,1,3071,129.215.204.50,vocabTraining,0,6,pig,pig,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D307,1,3072,129.215.204.33,vocabTraining,0,9,dog,dog,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D307,1,3071,129.215.204.50,vocabTraining,0,7,rabbit,rabbit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D307,1,3072,129.215.204.33,vocabTraining,0,10,elephant,elephant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D307,1,3071,129.215.204.50,vocabTraining,0,8,hippo,hippo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D307,1,3072,129.215.204.33,vocabTraining,0,11,kangaroo,kangaroo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D307,1,3071,129.215.204.50,vocabTraining,0,9,dog,dog,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
