Chain,Generation,ParticipantID,IP,Stage,Block,TrialNumber,Meaning,TrainingLabel,TypedLabel,CheckedLabel,Array1,Array2,Array3,Array4,Array5,Array6,Array7,Array8,Selected,Score
D324,1,3241,129.215.204.41,vocabTraining,0,1,car,car,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D324,1,3242,129.215.204.42,vocabTraining,0,1,cow,cow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D324,1,3241,129.215.204.41,vocabTraining,0,2,giraffe,giraffe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D324,1,3242,129.215.204.42,vocabTraining,0,2,sheep,sheep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D324,1,3241,129.215.204.41,vocabTraining,0,3,truck,truck,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D324,1,3242,129.215.204.42,vocabTraining,0,3,sheep,sheep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D324,1,3241,129.215.204.41,vocabTraining,0,4,plane,plane,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D324,1,3242,129.215.204.42,vocabTraining,0,4,scooter,scooter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D324,1,3241,129.215.204.41,vocabTraining,0,5,train,train,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D324,1,3242,129.215.204.42,vocabTraining,0,5,tank,tank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D324,1,3241,129.215.204.41,vocabTraining,0,6,truck,truck,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D324,1,3242,129.215.204.42,vocabTraining,0,6,truck,truck,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D324,1,3241,129.215.204.41,vocabTraining,0,7,pig,pig,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D324,1,3242,129.215.204.42,vocabTraining,0,7,pig,pig,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D324,1,3242,129.215.204.42,vocabTraining,0,8,scooter,scooter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D324,1,3241,129.215.204.41,vocabTraining,0,8,zebra,zebra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D324,1,3242,129.215.204.42,vocabTraining,0,9,truck,truck,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D324,1,3241,129.215.204.41,vocabTraining,0,9,plane,plane,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D324,1,3242,129.215.204.42,vocabTraining,0,10,pig,pig,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D324,1,3241,129.215.204.41,vocabTraining,0,10,tank,tank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
