Chain,Generation,ParticipantID,IP,Stage,Block,TrialNumber,Meaning,TrainingLabel,TypedLabel,CheckedLabel,Array1,Array2,Array3,Array4,Array5,Array6,Array7,Array8,Selected,Score
S125,1,dummyP,127.0.0.1,vocabTraining,0,1,car,car,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S125,1,dummyP,127.0.0.1,vocabTraining,0,2,tank,tank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S125,1,dummyP,127.0.0.1,vocabTraining,0,3,truck,truck,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S125,1,dummyP,127.0.0.1,vocabTraining,0,4,truck,truck,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S125,1,dummyP,127.0.0.1,vocabTraining,0,5,bike,bike,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S125,1,dummyP,127.0.0.1,vocabTraining,0,6,scooter,scooter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S125,1,dummyP,127.0.0.1,vocabTraining,0,7,boat,boat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S125,1,dummyP,127.0.0.1,vocabTraining,0,8,van,van,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S125,1,dummyP,127.0.0.1,vocabTraining,0,9,digger,digger,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S125,1,1251,129.215.204.50,vocabTraining,0,1,rocket,rocket,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S125,1,dummyP,127.0.0.1,vocabTraining,0,10,train,train,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S125,1,dummyP,127.0.0.1,vocabTraining,0,11,scooter,scooter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S125,1,dummyP,127.0.0.1,vocabTraining,0,12,submarine,submarine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S125,1,dummyP,127.0.0.1,vocabTraining,0,13,tractor,tractor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S125,1,1251,129.215.204.50,vocabTraining,0,2,submarine,submarine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S125,1,dummyP,127.0.0.1,vocabTraining,0,14,train,train,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S125,1,dummyP,127.0.0.1,vocabTraining,0,15,helicopter,helicopter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S125,1,dummyP,127.0.0.1,vocabTraining,0,16,plane,plane,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S125,1,dummyP,127.0.0.1,vocabTraining,0,17,ambulance,ambulance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S125,1,1251,129.215.204.50,vocabTraining,0,3,van,van,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S125,1,dummyP,127.0.0.1,vocabTraining,0,18,plane,plane,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S125,1,dummyP,127.0.0.1,vocabTraining,0,19,ambulance,ambulance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S125,1,dummyP,127.0.0.1,vocabTraining,0,20,tank,tank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S125,1,dummyP,127.0.0.1,vocabTraining,0,21,digger,digger,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S125,1,1251,129.215.204.50,vocabTraining,0,4,submarine,submarine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S125,1,dummyP,127.0.0.1,vocabTraining,0,22,bus,bus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S125,1,dummyP,127.0.0.1,vocabTraining,0,23,submarine,submarine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S125,1,dummyP,127.0.0.1,vocabTraining,0,24,rocket,rocket,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S125,1,dummyP,127.0.0.1,vocabTraining,0,25,rocket,rocket,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S125,1,1251,129.215.204.50,vocabTraining,0,5,helicopter,helicopter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S125,1,dummyP,127.0.0.1,vocabTraining,0,26,bus,bus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S125,1,dummyP,127.0.0.1,vocabTraining,0,27,helicopter,helicopter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S125,1,dummyP,127.0.0.1,vocabTraining,0,28,van,van,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S125,1,dummyP,127.0.0.1,vocabTraining,0,29,bike,bike,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S125,1,1251,129.215.204.50,vocabTraining,0,6,ambulance,ambulance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
